NAME OF WORK :- CONSTRUCTION OF COMMERCIAL COMPLEX FOR PANCHAYAT SAMITI GIRWA, UDAIPUR											
											
PART 'A'  CIVIL WORK FIRST  FLOOR 											
DETAILS OF MEASUREMENTS											
S.N.	Particulars	Nos.		Length		Breadth 		Height		Qty.	Units
	V1	9	x	1.20	x	4	@ 1.13 Kg/m	1.13	=	48.82	Kg
	V2	295	x	0.90	x	4	@ 1.13 Kg/m	1.13	=	1200.06	Kg
						Total				5764.36	Kg
											
10	Supplying and fixing wire gauge of 14 mesh x 24 gauge to the metal frame of rolled section by metal beading 20 x 3 mm with suitable screw at not exceeding 150 mm distance.										
	Qty.  10% of total windows area	645.30			x	0.10				64.53	Sqm
											
11	Supplying and fixing in cement mortar welded hand railing made out of MS round or square bars flats. etc. for staircase or verandah as per design complete in all respect (wooden or PVC hand railing to be paid extra) with priming coat of red oxide.										
	20 mm Square bar	72	x	1.20	@ 	3.14			=	271.30	Kg
		72	x	0.05	@ 	3.14			=	11.30	Kg
	Flat 50x5 mm	3	x	9.45	@ 	1.96			=	55.64	Kg
						Total				338.24	Kg
											
12	Polished Blue Kota stone flooring skirting laid over 20 mm thick base CM 1:4 and jointed with Grey cement slurry to match the shade of the slab including rubbing and polishing complete 										
	Floor Area (103.10x100.20-85.88x79.71)	1.00	x	3485.13	x	1.00			=	3485.13	Sqm
	Staircase 	2.00	x	7.20	x	5.00			=	72.00	Sqm
	Staircase flights	4	x	4.25	x	1.80			=	30.60	Sqm
	Staircase landing	2	x	3.50	x	1.80			=	12.60	Sqm
	Porch	1	x	3.60	x	5.00			=	18.00	Sqm
	Steps	14	x	3.00	x	0.30			=	12.60	Sqm
						Total				3630.93	Sqm
											
	(b) for area of each slab from 2001  to 5000 sq. cm 25 mm thick  slab.										
	Staircase flights	4	x	4.25	x	1.80			=	30.60	Sqm
	Staircase landing	2	x	3.50	x	1.80			=	12.60	Sqm
	Porch	1	x	3.60	x	5.00			=	18.00	Sqm
	Steps	14	x	3.00	x	0.30			=	12.60	Sqm
						Total				73.80	Sqm
											
13	Providing and fixing fully panelled double   leaf shutter for doors as per approved design and drawings with approved ordinary C.P./oxidised steel fittings as per Annexure `A’ and width of styles & top rails of 100 mm and bottom & lock rails width of 150 mm and intermediate styles including teak wood mouldings and beading to 25x5 mm size on both face complete . Assam teak wood grade I 35 mm thick . 12 mm thick shuttering ply (Kit ply make) both faces panels.										
	D1	63	x	1.20	x	2.10			=	158.76	Sqm
						Total				158.76	Sqm
14	Providing and fixing fully panelled Single   leaf shutter for doors as per approved design and drawings with approved ordinary C.P./oxidised steel fittings as per Annexure `A’ and width of styles & top rails of 100 mm and bottom & lock rails width of 150 mm and intermediate styles including teak wood mouldings and beading to 25x5 mm size on both face complete . Assam teak wood grade I 35 mm thick . 12 mm thick shuttering ply (Kit ply make) both faces panels.										
	D2	10	x	0.90	x	2.10			=	18.90	Sqm
						Total				18.90	Sqm
											
											
15	White washing with lime to give an even shade including all scaffolding: New work (two or more coats).										
	Qty. of Internal Plaster								=	#REF!	Sqm
	Qty. of Sunshade shuttering	2	x	577.51					=	1155.02	Sqm
	Qty. of Slab shuttering								=	3618.33	Sqm
						Total				#REF!	Sqm
											
16	Colour  washing of all shades to give an even shade including all scaffolding: New work (two or more coats) with a base coat of white washing with lime.										
	Qty. of External Plaster	1	x	3209.34					=	3209.34	Sqm
						Total				3209.34	Sqm
											
17	Applying priming coat with ready mix pink or Grey primer of approved brand and manufacture on wood work hard and soft wood.										
	Double Leaf door shutters	158.76			Sqm		@	2.25	=	357.21	Sqm
	Single Leaf door shutters	18.90			Sqm		@	2.25	=	42.53	Sqm
	Windows	645.30			Sqm		@	2.60	=	1677.78	Sqm
	Collapsible shutters	3	x	3.00	x	2.40	@	2.00	=	43.20	Sqm
	Railing	3	x	9.45	x	1.00	@	1.00	=	28.35	Sqm
								Total	=	2149.07	Sqm
											
18	Painting with enamel paint of approved brand and manufacture to give an even shade two or more coats on new work.										
	Qty. of priming 									2149.07	Sqm
											
19	Providing and fixing in position Collapsible steel shutters with vertical M.S. channels 20 x 10 x 2 mm and bracket with flat iron diagonals 20 x 5 mm size with top and bottom rail of T-iron 40 x 40 x 6 mm  with 40 mm Dai steel pulleys/ball bearing complete with bolts, nuts locking arrangements inside and outside stoppers, handles etc. as per specifications including applying of a priming coat of approved steel primer.( To be measured and paid as per outer dimension). With 75 mm opening when closed.										
	Collapsible shutters	3	x	3.00	x	2.40			=	21.60	Sqm
								Total	=	21.60	Sqm
											
20	Providing brick kharanja in cement sand mortar 1 : 4 in square pattern over roof of ground  floor  75 to 100 mm thick average. 										
	Floor Area (103.10x100.20-85.88x79.71)	1.00	x	3485.13	x	1.00			=	3485.13	Sqm
	Staircase 	2.00	x	7.20	x	5.00			=	72.00	Sqm
	Porch	1	x	3.60	x	5.00			=	18.00	Sqm
						Total				3575.13	Sqm
											
21	Spreading of hot blown bitumen (IS grade 85/25, 90/25 industrial grade) applied at 175 to 180 C @ rate of 1.75 Kg. per Sqm. complete.			Qty. same as Brick Kharanja					=	3575.13	Sqm
											
22	Providing batta (gola) 75 mm x 75 mm in cement concrete (1 :2 :4) including finishing with cement mortar 1 : 3 as per standard design.										
	@' 0.25 M per Sqm of Kharanja			3575.13	@' 0.25 M per Sqm 				=	 893.78 	Sqm
											
23	Finishing with  25 mm thick cement plaster on roofs in cement sand mortar 1:4 mix including water proofing compound @ 2% of cement used with neat cement finishing, curing etc. complete in all respects. 			Qty. same as Brick Kharanja					=	3575.13	Sqm
											
24	Providing  and fixing 20 mm thick terrazzo tile over roofing fixed in cement       mortar 1 : 4.			Qty. same as Brick Kharanja					=	3575.13	Sqm
											
25	P&F 1st quality white glazed tiles of approved make and size (Somani, Johnson etc.) 5 mm thick in wall, floors, steps, pillars etc. laid on bed of neat cement slurry finished with flush pointing in white cement (excluding the cost of cement plaster).										
	Laboratory 11 x 5	55	x	18.00	x	1.80			=	1782.00	Sqm
	Toilets	3	x	2.70	x	1.50			=	12.15	Sqm
	Urinal Floor	4	x	1.20	x	0.75			=	3.60	Sqm
	Toilet 	2	x	5.25	x	0.90			=	9.45	Sqm
								Total	=	1807.20	Sqm
											
26	Providing and fixing on wall face Asbestos Cement rain water pipe including jointing with spun yarn soaked in Bitumen and Cement Mortar 1 : 2 ( 1 Cement : 2 Coarse Sand) complete including MS clamp:  100 mm dia.	360	x	0.60					=	216.00	RM
								Total	=	216.00	RM
											
27	Providing and fixing precast cement concrete coping 1:2:4 mix 50 mm thick complete as per specification 50 mm thick.										
	Coping FF Parapet  	1	x	#REF!	x	0.32			=	#REF!	Sqm
								Total	=	#REF!	Sqm
28	Dismantling stone rubble masonry including stacking of serviceable material and disposal of unserviceable material within 50 m lead; In lime mortar										
	For Columns 2x(245+97)	684	x	0.30	x	0.23		0.75	=	35.40	Cum
							Total			35.40	Cum
29	Providing, laying and fixing in position RCC Spun or Hume pipe ISI marked with proper joints in required slope, packed in the gasket of hume pipe or spun yarn and neatly finished with rich grout of  cement mortar 1 : 3 ( 1 cement : 3  sand )  and made perfectly air and water tight including testing of joints, for 150 mm Dia. NP3 pipe	2	x	15.00					=	30.00	RM
	NON BSR ITEM										
30	P & F glass boards	1	x	27.00					=	27.00	Nos.
											
											
						CHARTERED   ENGINEER,					
						TEJHANS INVESTMENTS, UDAIPUR					
